Acc,Fault Type,RUL
-11.958,1,0
-3.2552,1,0
28.565,1,0
2.9321,1,0
-8.5576,1,0
-15.917,1,0
-12.453,1,0
-7.5067,1,0
2.2419,1,0
12.712,1,0
21.16,1,0
0.86331,1,0
-7.2604,1,0
-14.739,1,0
-12.443,1,0
-9.0772,1,0
6.3834,1,0
6.4983,1,0
9.3007,1,0
8.4403,1,0
-7.3056,1,0
-14.047,1,0
-22.136,1,0
-12.997,1,0
23.027,1,0
12.971,1,0
7.2099,1,0
25.035,1,0
4.1074,1,0
6.7578,1,0
-1.8418,1,0
-14.432,1,0
8.944,1,0
1.944,1,0
8.7339,1,0
6.5311,1,0
4.6952,1,0
-3.6942,1,0
-1.7617,1,0
0.092892,1,0
-8.8543,1,0
3.9014,1,0
7.0245,1,0
3.4719,1,0
3.0838,1,0
8.9684,1,0
-4.9823,1,0
-3.1839,1,0
-3.8243,1,0
-5.4998,1,0
0.11177,1,0
2.2693,1,0
-17.338,1,0
8.2577,1,0
5.5665,1,0
-7.8311,1,0
-19.534,1,0
-10.08,1,0
-1.5331,1,0
0.12714,1,0
6.8403,1,0
4.4667,1,0
7.1733,1,0
2.0851,1,0
-7.2762,1,0
-17.456,1,0
-19.148,1,0
-17.702,1,0
3.4011,1,0
6.6228,1,0
12.382,1,0
17.579,1,0
-0.7364,1,0
-1.5777,1,0
-5.4762,1,0
-6.9166,1,0
1.2388,1,0
9.6267,1,0
18.758,1,0
11.275,1,0
8.9526,1,0
2.8299,1,0
-5.4834,1,0
1.1636,1,0
-5.572,1,0
1.7562,1,0
7.8745,1,0
6.665,1,0
29.689,1,0
-11.525,1,0
-7.2211,1,0
-0.22381,1,0
1.7756,1,0
5.3279,1,0
9.7529,1,0
-5.3627,1,0
10.683,1,0
2.4921,1,0
-10.264,1,0
11.124,1,0
-7.0174,1,0
-2.6032,1,0
4.1556,1,0
2.457,1,0
21.815,1,0
7.1084,1,0
-7.4733,1,0
-4.5299,1,0
-6.3229,1,0
-8.1158,1,0
-3.3661,1,0
-1.952,1,0
9.6508,1,0
13.943,1,0
-1.2907,1,0
16.257,1,0
-5.8296,1,0
-33.659,1,0
-9.4168,1,0
33.5,1,0
18.455,1,0
-23.53,1,0
-28.323,1,0
-0.85367,1,0
27.466,1,0
32.554,1,0
13.409,1,0
-18.075,1,0
-33.593,1,0
-19.685,1,0
6.7679,1,0
24.717,1,0
36.516,1,0
3.7423,1,0
-18.766,1,0
-41.619,1,0
-8.4742,1,0
13.071,1,0
44.091,1,0
26.768,1,0
14.479,1,0
-14.552,1,0
-44.818,1,0
-10.894,1,0
22.073,1,0
29.667,1,0
31.906,1,0
7.713,1,0
-16.951,1,0
-35.594,1,0
4.3217,1,0
4.745,1,0
45.668,1,0
26.435,1,0
14.666,1,0
-37.93,1,0
-41.874,1,0
-27.134,1,0
28.47,1,0
35.607,1,0
10.145,1,0
-2.0188,1,0
-25.141,1,0
-36.381,1,0
1.0708,1,0
29.953,1,0
51.454,1,0
23.162,1,0
3.7261,1,0
-37.308,1,0
-47.774,1,0
-24.362,1,0
19.614,1,0
42.937,1,0
26.527,1,0
-8.2099,1,0
-26.081,1,0
-21.416,1,0
-1.957,1,0
32.344,1,0
40.814,1,0
15.05,1,0
-7.7188,1,0
-31.6,1,0
-35.797,1,0
-13.541,1,0
13.713,1,0
35.511,1,0
8.2168,1,0
-13.375,1,0
-23.929,1,0
-21.621,1,0
-9.0958,1,0
8.7714,1,0
22.632,1,0
17.616,1,0
-11.043,1,0
-6.0769,1,0
-32.079,1,0
0.97741,1,0
11.214,1,0
14.585,1,0
28.415,1,0
10.227,1,0
-2.8939,1,0
-11.186,1,0
-3.1628,1,0
2.0199,1,0
7.164,1,0
19.143,1,0
0.53681,1,0
-11.33,1,0
-3.2585,1,0
3.1241,1,0
-9.2219,1,0
8.4124,1,0
12.284,1,0
14.652,1,0
12.814,1,0
-7.8316,1,0
-9.3595,1,0
-14.696,1,0
7.264,1,0
0.56347,1,0
-7.9724,1,0
2.0065,1,0
10.402,1,0
-3.1306,1,0
-9.3063,1,0
-4.3246,1,0
7.3356,1,0
7.0036,1,0
6.8414,1,0
6.0162,1,0
-1.4338,1,0
-6.4733,1,0
-12.165,1,0
4.2444,1,0
-3.1063,1,0
20.545,1,0
5.6745,1,0
-0.32136,1,0
-6.4753,1,0
-37.356,1,0
15.989,1,0
24.799,1,0
26.751,1,0
3.591,1,0
-11.331,1,0
-8.3042,1,0
-2.8021,1,0
-2.0891,1,0
8.762,1,0
7.7815,1,0
16.041,1,0
-6.3135,1,0
-9.4638,1,0
-18.265,1,0
-19.782,1,0
-6.1008,1,0
3.2773,1,0
22.913,1,0
-12.045,1,0
7.869,1,0
-6.8411,1,0
-12.951,1,0
-4.9749,1,0
8.6317,1,0
-0.17548,1,0
12.976,1,0
5.8331,1,0
16.84,1,0
-3.0386,1,0
-5.228,1,0
-22.207,1,0
-15.423,1,0
-3.9155,1,0
16.621,1,0
12.256,1,0
4.0583,1,0
-5.6336,1,0
-2.2516,1,0
-13.61,1,0
-7.9173,1,0
-0.4208,1,0
3.8369,1,0
25.595,1,0
14.545,1,0
-2.3229,1,0
-3.1511,1,0
-10.865,1,0
-5.8615,1,0
-0.94528,1,0
6.072,1,0
20.984,1,0
15.291,1,0
-11.563,1,0
10.288,1,0
-9.2286,1,0
1.9131,1,0
-13.702,1,0
5.6559,1,0
4.0152,1,0
9.7244,1,0
10.498,1,0
-0.40943,1,0
1.2332,1,0
4.1136,1,0
-8.8017,1,0
2.9255,1,0
-5.6766,1,0
3.588,1,0
10.494,1,0
18.962,1,0
-3.6546,1,0
-9.25,1,0
-3.2402,1,0
1.3115,1,0
6.7017,1,0
1.3992,1,0
-4.0833,1,0
-4.9715,1,0
6.3039,1,0
-16.215,1,0
3.8474,1,0
-0.36296,1,0
3.1003,1,0
-3.3738,1,0
-1.8345,1,0
-9.5558,1,0
8.0673,1,0
10.565,1,0
0.13204,1,0
3.5102,1,0
1.4101,1,0
-1.1417,1,0
5.2813,1,0
-11.1,1,0
1.9728,1,0
-12.195,1,0
-0.97188,1,0
5.929,1,0
-0.26744,1,0
7.7921,1,0
-2.1454,1,0
-17.633,1,0
-0.33355,1,0
-0.093928,1,0
-6.1248,1,0
11.763,1,0
1.9099,1,0
6.1987,1,0
-4.0311,1,0
-7.0257,1,0
-21.347,1,0
-3.1531,1,0
7.3894,1,0
-3.8437,1,0
2.1746,1,0
-7.4062,1,0
-8.6131,1,0
-4.5375,1,0
-16.786,1,0
-0.26037,1,0
-10.97,1,0
-14.323,1,0
7.7666,1,0
27.981,1,0
15.736,1,0
-11.683,1,0
-30.386,1,0
-19.629,1,0
12.429,1,0
8.7792,1,0
9.6689,1,0
-7.5779,1,0
-17.203,1,0
-14.426,1,0
-22.837,1,0
1.9881,1,0
10.631,1,0
23.593,1,0
5.8969,1,0
-5.2969,1,0
-1.6095,1,0
-9.6569,1,0
-23.62,1,0
-9.3303,1,0
2.2396,1,0
14.336,1,0
4.7669,1,0
18.597,1,0
-18.484,1,0
-9.5736,1,0
-11.287,1,0
-8.0622,1,0
2.7818,1,0
12.293,1,0
10.246,1,0
4.3693,1,0
-1.7683,1,0
-14.531,1,0
-25.175,1,0
-22.122,1,0
2.4353,1,0
3.8951,1,0
9.0475,1,0
17.761,1,0
6.5188,1,0
-5.1458,1,0
-25.863,1,0
0.20074,1,0
-11.833,1,0
15.153,1,0
19.794,1,0
9.4008,1,0
7.6972,1,0
-26.663,1,0
-19.018,1,0
8.1895,1,0
-3.8727,1,0
9.9316,1,0
29.029,1,0
1.9046,1,0
6.3429,1,0
-18.411,1,0
-23.828,1,0
-12.947,1,0
15.573,1,0
-5.2616,1,0
16.317,1,0
20.909,1,0
18.407,1,0
-11.769,1,0
-10.965,1,0
-15.812,1,0
10.377,1,0
-0.45542,1,0
7.1281,1,0
-2.1241,1,0
3.6312,1,0
7.202,1,0
-14.852,1,0
-9.5963,1,0
-19.131,1,0
3.2727,1,0
3.9882,1,0
11.458,1,0
5.6681,1,0
12.331,1,0
-11.655,1,0
-2.1095,1,0
-15.865,1,0
11.796,1,0
9.882,1,0
12.509,1,0
-6.7372,1,0
-5.8447,1,0
-0.54198,1,0
-11.769,1,0
-1.2507,1,0
-2.4787,1,0
9.8833,1,0
17.389,1,0
3.1504,1,0
7.2041,1,0
-1.9618,1,0
-20.714,1,0
-3.1605,1,0
-13.827,1,0
-7.6218,1,0
6.5717,1,0
9.9914,1,0
9.1258,1,0
-10.829,1,0
-4.0341,1,0
-18.432,1,0
-10.53,1,0
0.27344,1,0
14.799,1,0
