name,time,value
Ax,1585215398518271300,-0.0158844
Ax,1585215399517997400,-0.0158844
Ax,1585215400506989300,-0.0158844
Ax,1585215401610314900,-0.0158844
Ax,1585215402713460600,-0.0158844
Ax,1585215403893155900,-0.0158844
Ax,1585215405103222300,-0.0158844
Ax,1585215406433343800,-0.0158844
Ax,1585215407342290800,-0.0158844
Ax,1585215408654815200,-0.0158844
Ax,1585215409513758800,-0.0158844
Ax,1585215410500992700,-0.0158844
Ax,1585215411654005800,-0.0158844
Ax,1585215412912009700,-0.0158844
Ax,1585215414108733900,-0.0158844
Ax,1585215415282240900,-0.0158844
Ax,1585215416623869200,-0.0158844
Ax,1585215417218728100,-0.0158844
Ax,1585215418947892600,-0.0158844
Ax,1585215419581673000,-0.0158844
Ax,1585215420730829300,-0.0158844
Ax,1585215421739256900,-0.0158844
Ax,1585215422980290300,-0.0158844
Ax,1585215424366379700,-0.0158844
Ax,1585215425500698400,-0.0158844
Ax,1585215426778989800,-0.0158844
Ax,1585215427838741000,-0.0158844
Ax,1585215428796223900,-0.0158844
Ax,1585215429925745700,-0.0158844
Ax,1585215431381286700,-0.0158844
Ax,1585215432311755400,-0.0158844
Ax,1585215434206537300,-0.0158844
Ax,1585215435266474100,-0.0158844
Ax,1585215436493704200,-0.0158844
Ax,1585215437723042800,-0.0158844
Ax,1585215438745425600,-0.0158844
Ax,1585215439836100600,-0.0158844
Ax,1585215441111158300,-0.0158844
Ax,1585215443471914700,-0.0158844
Ax,1585215444858788000,-0.0158844
Ax,1585215445988705200,-0.0158844
Ax,1585215446994082200,-0.0158844
Ax,1585215448066234800,-0.0158844
Ax,1585215449072254300,-0.0158844
Ax,1585215450155999700,-0.0158844
Ax,1585215451239922900,-0.0158844
Ax,1585215452480509800,-0.0158844
Ax,1585215453759542000,-0.0158844
Ax,1585215454925833200,-0.0158844
Ax,1585215455987972100,-0.0158844
Ax,1585215457206655600,-0.0158844
Ax,1585215458436593700,-0.0158844
Ax,1585215459530573400,-0.0158844
Ax,1585215460584034300,-0.0158844
Ax,1585215461803033700,-0.0158844
Ax,1585215463304130400,-0.0158844
Ax,1585215464569769500,-0.0158844
Ax,1585215465882586600,-0.0158844
Ax,1585215467089392300,-0.0158844
Ax,1585215468056852800,-0.0158844
Ax,1585215468971986300,-0.0158844
Ax,1585215469985205100,-0.0158844
Ax,1585215471078655000,-0.0158844
Ax,1585215472058714300,-0.0158844
Ax,1585215473188022300,-0.0158844
Ax,1585215474090104000,-0.0158844
Ax,1585215475226403100,-0.0158844
Ax,1585215476269820400,-0.0158844
Ax,1585215477561379500,-0.0158844
Ax,1585215478786140600,-0.0158844
Ax,1585215479795453300,-0.0158844
